sector,macro,tau,alpha,beta,t_beta,pseudo_r2
XLV,US10Y,0.25,-0.005564220610486261,-0.0017680638710395472,-2.575125314217775,0.017495133796250784
XLV,US10Y,0.5,-5.4822176440215504e-05,-0.0019527443460664287,-3.399489847592015,0.03677723281373513
XLV,US10Y,0.75,0.0062958536551076345,-0.0017268816517563355,-2.278127424394691,0.016735467987653463
XLV,US10Y,0.9,0.012685694629088822,-0.0013253751940460103,-1.1907791798810365,0.006913070776099595
XLV,US10Y,0.95,0.018050054114845476,-0.0016889539631388729,-0.9899840350849675,0.0015828808580161668
XLV,US10Y,0.99,0.030615620264091675,0.0041529463794794915,1.1733446023003913,0.030653789143325283
XLV,VIX,0.01,-0.02399966180735345,-0.007594419364991509,-0.8727908707757617,0.26025745684276513
XLV,VIX,0.05,-0.013604699890638132,-0.005980125020858146,-3.3839663175868373,0.1981534534891055
XLV,VIX,0.1,-0.010072463603861699,-0.006005064646498622,-4.767742483153632,0.14508899211706539
XLV,VIX,0.25,-0.00551310327769558,-0.00548524179079753,-6.831439997878856,0.10984294672007455
XLV,VIX,0.5,0.00038711740136435476,-0.0049412787275224836,-8.682677812223725,0.11256047190662899
XLV,VIX,0.75,0.005719270031903442,-0.005068290753225315,-7.6925923643229135,0.11432947210993538
XLV,VIX,0.9,0.011677996561425071,-0.004971417356452459,-6.83466332383885,0.1190657569059912
XLV,VIX,0.95,0.015317338501051086,-0.004915584791192699,-5.1447683723249344,0.12371165566823394
XLV,VIX,0.99,0.023931388525449942,-0.0021244373199140825,-0.3685078319447654,0.15782185131970627
XLY,OIL,0.01,-0.03456416320028371,0.003646380668689428,0.8810289630053265,0.13891557906041574
XLY,OIL,0.05,-0.02335879792420394,0.0013183141619133147,0.5357070603688883,0.011922771455234238
XLY,OIL,0.1,-0.017779982987899515,0.000278455328226822,0.12664477454000986,0.00019276044215710275
XLY,OIL,0.25,-0.006590954656408584,-0.0022669341773297537,-2.4304845298382842,0.015058597740557178
XLY,OIL,0.5,0.00036512412775862376,-0.004089967203079402,-5.814794296841889,0.034079313875858164
XLY,OIL,0.75,0.007961151572415299,-0.003289699568706033,-3.8400885464548726,0.04104500873138617
XLY,OIL,0.9,0.01479823746037375,-0.00254471098008125,-2.64263046120053,0.045707788819374984
XLY,OIL,0.95,0.019333220533247687,-0.0018016756679542466,-1.4816391138140967,0.031730617186016
XLY,OIL,0.99,0.031217431890269,0.0005457806232300327,0.09674149906255683,0.0063871906507647624
XLY,DXY,0.01,-0.03403829377152675,0.007490110208785018,2.275762880186263,0.09747777297519944
XLY,DXY,0.05,-0.02246417967547098,0.0026071142690993294,1.1514271708639765,0.03452525802692785
XLY,DXY,0.1,-0.017796390800820957,0.0022070253926414645,0.9619276159205858,0.02070766219012876
XLY,DXY,0.25,-0.007646481472908058,0.0001232863943711863,0.11036027951867876,5.38976090864729e-05
XLY,DXY,0.5,0.0005639759745847082,-0.0015543167485842775,-2.031759932463596,0.007673350878651064
XLY,DXY,0.75,0.007889045762240686,-0.001426668742524653,-1.6893995019390506,0.0076228326917651135
XLY,DXY,0.9,0.016008613808913788,-0.0017894198924353858,-1.260275931745699,0.0027425954585608148
XLY,DXY,0.95,0.02115162071604353,0.00043842523404221485,0.22221062343847942,0.0009745794449941281
XLY,DXY,0.99,0.03556530797226754,0.0039018256954818408,0.8232476115400625,0.04365073978557299
XLY,US2Y,0.01,-0.033058167636163475,0.004774177858657844,1.477188353124007,0.13957309234057502
XLY,US2Y,0.05,-0.023549159937076843,0.0005058878337911433,0.26450234724196775,0.003215510197006499
XLY,US2Y,0.1,-0.017399960597936585,0.0008594265008972824,0.4562039491799867,0.0013859644913216673
XLY,US2Y,0.25,-0.007223582071217395,-0.0012249612339556148,-1.3234746193705489,0.0031468930133621287
XLY,US2Y,0.5,0.0005401987595486023,-0.0003687787060262156,-0.4709114431563876,0.0001398900758180499
XLY,US2Y,0.75,0.008003597383721013,-0.0011617925841847633,-1.1763936973118019,0.005618427589285435
XLY,US2Y,0.9,0.01606168520234759,-0.0015245129053596247,-0.8187751191869542,0.012748312159230668
XLY,US2Y,0.95,0.02127245314099092,-0.0019470256248119277,-0.8264728537058861,0.005148909029984106
XLY,US2Y,0.99,0.034451172305201914,0.0031833274713495853,0.4807574974334753,0.09267302978760583
XLY,US10Y,0.01,-0.0357334025506161,0.005784267327141957,1.4496885215660198,0.15449187271238485
XLY,US10Y,0.05,-0.023925751528726814,0.0014887405430153643,0.5705100699059994,0.013114404753972742
XLY,US10Y,0.1,-0.017562767916273096,0.0001384504558797434,0.05468064708542369,-9.986073818968322e-06
XLY,US10Y,0.25,-0.007347155503504571,-0.0012854207850874308,-1.2074017104430255,0.005658723932100096
XLY,US10Y,0.5,0.000707922911613739,-0.002325137730729155,-3.0426323321889326,0.01013050117435188
XLY,US10Y,0.75,0.007695031644066814,-0.002730038249475411,-3.253011562646686,0.018603353097010777
XLY,US10Y,0.9,0.016388590524449277,-0.0028552537004234643,-1.8079982253236018,0.02223967573228125
XLY,US10Y,0.95,0.02010900386884593,-0.0024823106668020933,-1.6260448607735922,0.023461526658433263
XLY,US10Y,0.99,0.03843605888857401,0.005897091434536027,1.0098712706124535,0.08637869528433806
XLY,VIX,0.01,-0.02289870773002032,-0.009893275577107613,-2.5981720950165137,0.47832714180475255
XLY,VIX,0.05,-0.014006107137162193,-0.010633158204890593,-6.723402728735851,0.3924182216405905
XLY,VIX,0.1,-0.010500980317467195,-0.012289386706090345,-12.874872608851382,0.39490916744803495
XLY,VIX,0.25,-0.005513509649071833,-0.011961854346839837,-21.02506843942978,0.3691902981022932
XLY,VIX,0.5,0.00032572566634480997,-0.012416933880308605,-22.293686049287484,0.33874280312985083
XLY,VIX,0.75,0.005453348940235259,-0.012490939824068131,-19.29336391930285,0.3298042485093542
XLY,VIX,0.9,0.010867756791555263,-0.010849181998247838,-9.411785737462797,0.34566788839668416
XLY,VIX,0.95,0.015217054025243513,-0.010057962750157811,-3.182036082063064,0.35757722263646396
XLY,VIX,0.99,0.022272789351110035,-0.009272425736298521,-2.0576717710946415,0.5001958141703187
XLP,OIL,0.01,-0.024103447692805067,0.0014004447956542467,0.3159242805965112,0.023218758398310224
XLP,OIL,0.05,-0.01242407225583994,-0.0010428571778955565,-1.4104474284479864,0.004554202543702757
XLP,OIL,0.1,-0.01001760143114091,-0.0010772751216768556,-1.5465577037665943,0.011681162124853706
XLP,OIL,0.25,-0.005065161728939773,-0.001468100422738536,-2.309499294348849,0.008163103431543806
XLP,OIL,0.5,6.445282079445985e-05,-0.0011315051268664,-2.1670879891032278,0.01166399230540649
XLP,OIL,0.75,0.005332001128404372,-0.0006395099251593495,-0.869020411840867,0.001959995414157256
XLP,OIL,0.9,0.011718546733337633,-0.0002065627554562459,-0.17773834298877297,0.0008990217249148502
XLP,OIL,0.95,0.014601980593366532,-0.0006448551039140655,-0.4898923496487266,0.0025213409061800585
XLP,OIL,0.99,0.020695559927398664,0.00035672907482933903,0.11499700837280025,0.0110043069985859
XLP,DXY,0.01,-0.020016393102224476,-0.003790159974139432,-2.2368763350384158,0.11893276789136209
XLP,DXY,0.05,-0.013612913229026856,-0.001588872512560387,-1.2981279737630231,0.017732001339550885
XLP,DXY,0.1,-0.010270645483387185,-0.00045355577487878876,-0.5547646978503988,0.0024891607288745066
XLP,DXY,0.25,-0.004906340984657464,-0.0017349794812881677,-2.729719165799449,0.01793731745851046
XLP,DXY,0.5,0.00027460490253747375,-0.0012486688379106043,-2.3798374629730454,0.009887526086847731
XLP,DXY,0.75,0.005007123625910848,-0.00019607609997883253,-0.3909476124374316,0.0003391022679188893
XLP,DXY,0.9,0.012066932904403943,-0.00018984167938170432,-0.2470480401992304,0.0009541696376699216
XLP,DXY,0.95,0.014623032213866965,0.00019772705156235904,0.2881296628205462,0.00030461345295940134
XLP,DXY,0.99,0.0209806549720112,0.00221544918553821,3.9580831191894688,0.011596389439449961
XLP,US2Y,0.01,-0.022774280256513,0.0033698364183099103,1.1138601526337988,0.020184676590880635
XLP,US2Y,0.05,-0.013354908632072558,-0.001139918786977009,-1.1709716547070363,0.013882665868683919
XLP,US2Y,0.1,-0.009928083801690128,-0.0006517128345536228,-1.1407377771855507,0.002272496554514225
XLP,US2Y,0.25,-0.005224430780108762,-0.0014104042187495526,-2.286818721390031,0.015494562264786182
XLP,US2Y,0.5,1.242054294651792e-05,-0.0005670355165850957,-1.0671032981461335,0.006553730148981862
XLP,US2Y,0.75,0.005007000670170289,-0.0007997240911752758,-1.3114712018698285,0.005470729662831575
XLP,US2Y,0.9,0.011945628320277952,0.00018345417271185789,0.21193247276031674,0.00037464526062214176
XLP,US2Y,0.95,0.014494923048260947,-0.00023150403168362954,-0.2755535034229655,0.0007717099667324812
XLP,US2Y,0.99,0.025072709052614866,0.0037816160729442815,1.3702207821803105,0.037233406245821055
XLP,US10Y,0.01,-0.021102741926643045,-0.0017718111587681784,-0.9220035690268474,0.029892188808730236
XLP,US10Y,0.05,-0.012244728438145284,-0.0016003289918947797,-2.5193703572429937,0.037187689481672725
XLP,US10Y,0.1,-0.010078151533444253,-0.0018939458950900058,-2.5389295599499784,0.031052628791887527
XLP,US10Y,0.25,-0.005225327967414235,-0.001823532224319864,-2.7644888049344263,0.02640011163113054
XLP,US10Y,0.5,0.00032624277056646033,-0.0014648962785969047,-2.7066486728595383,0.015311549413442038
XLP,US10Y,0.75,0.005405102609074601,-0.002191284722225302,-3.7512123418776073,0.017895711321928798
XLP,US10Y,0.9,0.011832333621678666,-0.0005673796910669423,-0.6072723929932977,0.002238189561048709
XLP,US10Y,0.95,0.014552189007891373,-0.0005915755814234423,-0.5847341121201934,5.136764526358917e-05
XLP,US10Y,0.99,0.022231519320396673,0.0013236390745149907,0.5702132524796308,0.01821234669865146
XLP,VIX,0.01,-0.019902760431442585,-0.003702235744482893,-4.042956789886758,0.231756270656568
XLP,VIX,0.05,-0.013264182296606163,-0.004346596286004982,-2.84978008682466,0.09419840876592267
XLP,VIX,0.1,-0.009915416841153142,-0.004206722652019675,-4.98896939859799,0.06829195837058222
XLP,VIX,0.25,-0.005246962750408531,-0.003467632309471345,-5.643554012268401,0.032603441182856185
XLP,VIX,0.5,-9.90479669256469e-05,-0.0016969169715922233,-3.100217014976179,0.012078687839525148
XLP,VIX,0.75,0.005542575325845163,-0.0015167109221781922,-1.8054891056450049,0.012330021203599384
XLP,VIX,0.9,0.011887460467767307,-0.0018662689271514345,-1.3229278208481876,0.030165606534382494
XLP,VIX,0.95,0.014156072658071464,-0.0021116604704713984,-1.0871534172988362,0.04204851503821894
XLP,VIX,0.99,0.019506909921797547,-0.0021145476547782456,-0.5912887264104458,0.131514170231253
XLU,OIL,0.01,-0.02408717183992418,0.0006421207603267382,0.21991817187072277,0.0031846415482756907
XLU,OIL,0.05,-0.01644773291740361,-0.0008531606497663136,-0.4693155337551266,0.001295942754809265
XLU,OIL,0.1,-0.011299094608164697,-0.0004297871156875577,-0.4377940757224493,0.0005818808646435025
XLU,OIL,0.25,-0.00501030779882421,-0.000383606354413288,-0.4986503036758572,0.0015400332166162212
